method,N,dx,dt,r_dt_over_dx2,mass,max_amp,stable
FTCS,64,0.625,0.004,0.01024,1.0175088040434535,0.736082904286791,True
Backward-Euler,64,0.625,0.004,0.01024,0.9830574441773463,0.7207034897799031,True
Crank-Nicolson,64,0.625,0.004,0.01024,0.9999999999999678,0.7282970092300985,True
Split-Step-FFT,64,0.625,0.004,0.01024,1.000000000000017,0.6284274631135672,True
RK4,64,0.625,0.004,0.01024,0.9999999999943681,0.7282947378375209,True
FTCS,64,0.625,0.02,0.0512,1.0935795176422691,0.7692412916465573,True
Backward-Euler,64,0.625,0.02,0.0512,0.9205840732995401,0.6922471680812582,True
Crank-Nicolson,64,0.625,0.02,0.0512,0.9999999999999722,0.7283512234347582,True
Split-Step-FFT,64,0.625,0.02,0.0512,1.000000000000004,0.6284274631135632,True
RK4,64,0.625,0.02,0.0512,0.999999982411739,0.7282947577236895,True
FTCS,64,0.625,0.08,0.2048,1.4544260852962176,0.9110935371325403,True
Backward-Euler,64,0.625,0.08,0.2048,0.7539147713001787,0.6124482943424312,True
Crank-Nicolson,64,0.625,0.08,0.2048,0.9999999999999986,0.7303595528276906,True
Split-Step-FFT,64,0.625,0.08,0.2048,1.0000000000000013,0.6371393637065278,True
RK4,64,0.625,0.08,0.2048,0.9999828866398636,0.7299647587757025,True
FTCS,96,0.41666666666666785,0.004,0.02303999999999987,1.023440053792006,0.7019631022095306,True
Backward-Euler,96,0.41666666666666785,0.004,0.02303999999999987,0.9777440605663301,0.6817894824764461,True
Crank-Nicolson,96,0.41666666666666785,0.004,0.02303999999999987,1.0000000000000586,0.6916398994930194,True
Split-Step-FFT,96,0.41666666666666785,0.004,0.02303999999999987,0.9999999999999295,0.6305231779542307,True
RK4,96,0.41666666666666785,0.004,0.02303999999999987,0.9999999999787974,0.6916264308166674,True
FTCS,96,0.41666666666666785,0.02,0.11519999999999934,1.1308143143069593,0.7492627886129415,True
Backward-Euler,96,0.41666666666666785,0.02,0.11519999999999934,0.8990751938082273,0.6466783716350285,True
Crank-Nicolson,96,0.41666666666666785,0.02,0.11519999999999934,0.9999999999999974,0.6919611533677067,True
Split-Step-FFT,96,0.41666666666666785,0.02,0.11519999999999934,0.9999999999999863,0.6305231779542498,True
RK4,96,0.41666666666666785,0.02,0.11519999999999934,0.9999999338310995,0.6916269962446782,True
FTCS,96,0.41666666666666785,0.08,0.4607999999999974,1.7742353098720385,1.0338952394277436,True
Backward-Euler,96,0.41666666666666785,0.08,0.4607999999999974,0.7109150137973932,0.5626499277197065,True
Crank-Nicolson,96,0.41666666666666785,0.08,0.4607999999999974,1.0000000000000007,0.6988108920981579,True
Split-Step-FFT,96,0.41666666666666785,0.08,0.4607999999999974,0.9999999999999963,0.6335517712041047,True
RK4,96,0.41666666666666785,0.08,0.4607999999999974,0.9999363243297209,0.6952993053516088,True
FTCS,128,0.3125,0.004,0.04096,1.0260415312910802,0.6773192859068229,True
Backward-Euler,128,0.3125,0.004,0.04096,0.9755089962081274,0.6567438399906854,True
Crank-Nicolson,128,0.3125,0.004,0.04096,0.999999999999963,0.6667912470392348,True
Split-Step-FFT,128,0.3125,0.004,0.04096,1.000000000000015,0.6291563294959026,True
RK4,128,0.3125,0.004,0.04096,0.9999999999651952,0.6667725868576669,True
FTCS,128,0.3125,0.02,0.2048,1.1488899852868748,0.7260773411905197,True
Backward-Euler,128,0.3125,0.02,0.2048,0.8906233300773237,0.6209151172363583,True
Crank-Nicolson,128,0.3125,0.02,0.2048,0.9999999999999947,0.6672374189166728,True
Split-Step-FFT,128,0.3125,0.02,0.2048,1.0000000000000038,0.6291563294958983,True
RK4,128,0.3125,0.02,0.2048,0.9999998914199115,0.6667736765909701,True
FTCS,128,0.3125,0.08,0.8192,2.018540794012468,1.1222085756945395,False
Backward-Euler,128,0.3125,0.08,0.8192,0.696114158153963,0.5482629892331825,True
Crank-Nicolson,128,0.3125,0.08,0.8192,1.000000000000004,0.6751489891002642,True
Split-Step-FFT,128,0.3125,0.08,0.8192,1.000000000000001,0.6376288407636215,True
RK4,128,0.3125,0.08,0.8192,0.9998963205969622,0.6698062549721885,True
